"STATION","NAME","DATE","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-07","66","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-08","73","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-09","60","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-10","64","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-11","55","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-12","42","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-13","41","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-14","48","35"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-15","57","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-16","65","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-17","65","47"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-18","62","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-19","60","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-20","67","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-21","69","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-22","48","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-23","61","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-24","55","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-25","60","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-26","54","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-27","62","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-28","55","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-29","60","49"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-30","63","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-03-31","51","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-01","61","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-02","71","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-03","68","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-04","75","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-05","66","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-06","69","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-07","71","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-08","73","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-09","76","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-10","71","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-11","76","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-12","75","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-13","67","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-14","72","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-15","64","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-16","56","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-17","62","35"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-18","70","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-19","76","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-20","80","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-21","75","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-22","74","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-23","74","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-24","79","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-25","76","58"
